                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1399,                 2.7739,                 1.5861,                0.85481,                0.46346,                0.47904,                 0.2588,                 1.2418,                 3.1524,                 1.5954,             0.00036565,             0.00036565,             0.00036565
                      2,                  1.181,                  1.552,                 1.5654,                0.88251,                0.44828,                0.49688,                0.29686,                 1.2974,                  1.747,                 1.5621,             0.00073112,             0.00073112,             0.00073112
                      3,                 1.1546,                 1.3511,                 1.4526,                0.40299,                0.66325,                 0.5198,                0.32364,                 1.2865,                 1.1353,                 1.6075,              0.0010917,              0.0010917,              0.0010917
                      4,                 1.1694,                 1.1916,                 1.4332,                0.40066,                 0.7774,                0.50362,                 0.2832,                 1.4597,                 1.1424,                 1.5961,               0.001089,               0.001089,               0.001089
                      5,                 1.1591,                 1.0816,                 1.3983,                0.43881,                0.61669,                0.51344,                0.30385,                 1.5082,                 1.0854,                 1.7026,              0.0010817,              0.0010817,              0.0010817
                      6,                 1.1062,                0.98365,                 1.3633,                0.38818,                0.71682,                0.50513,                0.27718,                 1.5369,                 1.1021,                 1.6599,              0.0010743,              0.0010743,              0.0010743
                      7,                 1.1129,                0.94517,                 1.3531,                0.35963,                0.53188,                0.51875,                0.29729,                 1.4463,                 1.0107,                 1.6456,               0.001067,               0.001067,               0.001067
                      8,                 1.1132,                 0.8984,                  1.362,                0.44095,                0.85841,                0.52512,                0.34841,                 1.2229,                0.90815,                 1.4493,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.0894,                 0.8716,                 1.3441,                0.37096,                0.88328,                0.49649,                0.32745,                 1.1612,                 0.9377,                 1.4358,              0.0010523,              0.0010523,              0.0010523
                     10,                   1.06,                0.85268,                 1.3173,                0.37206,                0.92474,                0.51077,                0.33394,                 1.2274,                0.90529,                 1.4385,               0.001045,               0.001045,               0.001045
                     11,                 1.0509,                0.83103,                 1.3189,                0.35942,                 0.5963,                0.50296,                0.30919,                   1.35,                0.96069,                 1.5113,              0.0010377,              0.0010377,              0.0010377
                     12,                  1.042,                0.80221,                 1.3209,                 0.4016,                0.84678,                0.50617,                0.33336,                  1.203,                0.88247,                 1.4235,              0.0010303,              0.0010303,              0.0010303
                     13,                 1.0418,                0.78635,                 1.3117,                0.38565,                0.78698,                0.51213,                0.33504,                 1.2248,                0.91532,                 1.4338,               0.001023,               0.001023,               0.001023
                     14,                  1.017,                0.77322,                 1.2923,                0.40496,                0.79782,                0.55789,                0.36122,                 1.2443,                0.87782,                 1.4519,              0.0010157,              0.0010157,              0.0010157
                     15,                 1.0191,                0.76931,                 1.2879,                0.41307,                0.82078,                0.54635,                 0.3611,                 1.1201,                0.82911,                 1.3735,              0.0010083,              0.0010083,              0.0010083
