                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1551,                 2.6617,                 1.4721,                0.91833,                0.43176,                 0.5182,                0.28277,                 1.3498,                 2.3542,                 1.6107,             0.00036559,             0.00036559,             0.00036559
                      2,                 1.1872,                   1.47,                 1.4272,                0.40218,                 0.6811,                0.49026,                 0.2991,                  1.225,                 1.3839,                 1.5478,             0.00072863,             0.00072863,             0.00072863
                      3,                 1.1381,                 1.2798,                 1.3842,                0.45285,                0.73149,                0.53164,                0.31786,                 1.3312,                 1.1312,                 1.6054,              0.0010843,              0.0010843,              0.0010843
                      4,                 1.1844,                 1.1659,                 1.4179,                0.89539,                0.46552,                0.48214,                 0.2914,                 1.2385,                 1.2271,                  1.526,               0.001078,               0.001078,               0.001078
                      5,                 1.1368,                 1.0392,                 1.3841,                0.39228,                0.62458,                0.51187,                0.30358,                 1.3971,                 1.0614,                 1.6104,               0.001067,               0.001067,               0.001067
                      6,                 1.1537,                0.97982,                 1.3788,                0.86209,                0.44253,                0.48666,                0.23216,                 1.7946,                 1.2183,                 1.9156,               0.001056,               0.001056,               0.001056
                      7,                 1.1362,                0.91178,                 1.3543,                0.38165,                0.75127,                0.50574,                0.32282,                 1.2357,                 0.9996,                 1.4593,               0.001045,               0.001045,               0.001045
                      8,                 1.1297,                0.87922,                  1.362,                0.43394,                0.91325,                0.53207,                0.33564,                 1.2961,                0.90328,                  1.475,               0.001034,               0.001034,               0.001034
                      9,                 1.0861,                0.82323,                 1.3307,                0.48376,                0.70149,                 0.4916,                0.25609,                 1.7573,                 1.0346,                  1.822,               0.001023,               0.001023,               0.001023
                     10,                 1.0962,                0.83026,                 1.3334,                0.89865,                0.46743,                0.51674,                0.33223,                 1.2304,                 1.0187,                 1.4457,               0.001012,               0.001012,               0.001012
                     11,                  1.077,                0.80959,                 1.3204,                0.43624,                0.75893,                0.53583,                0.33723,                 1.3133,                0.88316,                  1.556,               0.001001,               0.001001,               0.001001
                     12,                 1.0646,                0.77681,                 1.3161,                0.42623,                0.65305,                0.54367,                0.34876,                 1.2055,                0.89755,                 1.4393,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.0531,                0.77557,                  1.314,                0.40438,                0.90497,                0.52182,                0.34626,                  1.197,                0.86113,                 1.3987,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.0559,                0.77329,                 1.3003,                0.48711,                0.91581,                0.54941,                0.36113,                 1.1676,                0.81005,                 1.3823,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.0566,                0.75525,                 1.3231,                0.43853,                0.89988,                0.53535,                0.36498,                 1.0982,                0.81059,                 1.3383,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.0462,                0.73662,                 1.3037,                0.42748,                0.92217,                 0.5657,                0.38211,                 1.1663,                0.82366,                 1.4435,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.0404,                0.75349,                 1.3015,                0.47497,                0.77487,                0.53295,                0.31088,                  1.404,                0.87525,                 1.5697,             0.00093502,             0.00093502,             0.00093502
                     18,                0.99289,                0.71316,                 1.2644,                0.48393,                0.79273,                 0.5253,                0.34545,                 1.2325,                0.82567,                 1.4195,             0.00092402,             0.00092402,             0.00092402
                     19,                0.99434,                0.71717,                 1.2777,                0.48368,                0.86032,                0.54463,                 0.3689,                 1.1396,                 0.7761,                 1.3642,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.0184,                0.71459,                 1.2867,                 0.4892,                0.77923,                0.55736,                0.37193,                 1.1897,                0.78251,                 1.4125,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.0132,                0.70241,                 1.2817,                0.50535,                0.87117,                0.60199,                0.36849,                 1.4326,                0.81573,                 1.5548,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.0039,                 0.6852,                 1.2811,                0.49866,                0.79717,                0.55864,                 0.3907,                  1.164,                 0.7728,                 1.4086,             0.00088002,             0.00088002,             0.00088002
                     23,                0.98585,                0.68319,                 1.2684,                 0.4734,                0.83545,                0.53654,                0.33524,                 1.3008,                0.83026,                 1.5203,             0.00086902,             0.00086902,             0.00086902
                     24,                0.98806,                0.69462,                 1.2594,                0.50632,                 0.7838,                0.61393,                0.42091,                  1.158,                0.77464,                 1.3715,             0.00085803,             0.00085803,             0.00085803
                     25,                0.97109,                0.69344,                 1.2455,                0.49655,                0.78441,                0.60987,                0.42069,                 1.0744,                0.78476,                 1.3596,             0.00084703,             0.00084703,             0.00084703
                     26,                0.95456,                 0.6676,                 1.2431,                0.62913,                0.73659,                0.66891,                0.45431,                 1.1753,                0.75708,                 1.4092,             0.00083603,             0.00083603,             0.00083603
                     27,                0.94551,                0.66322,                 1.2443,                0.51409,                0.68685,                 0.5602,                0.38238,                 1.1636,                0.81184,                  1.417,             0.00082503,             0.00082503,             0.00082503
                     28,                 0.9685,                0.65392,                 1.2477,                0.57185,                0.80844,                0.64584,                0.45901,                 1.0606,                 0.7277,                 1.3652,             0.00081403,             0.00081403,             0.00081403
                     29,                0.95598,                0.65282,                 1.2566,                0.62879,                0.67857,                0.68581,                0.45945,                 1.2609,                0.79448,                 1.4494,             0.00080303,             0.00080303,             0.00080303
                     30,                0.94069,                 0.6319,                 1.2328,                0.66994,                0.69769,                0.66887,                0.49497,                 1.0554,                0.72248,                 1.3147,             0.00079203,             0.00079203,             0.00079203
                     31,                0.94376,                0.61434,                 1.2344,                0.63416,                0.74018,                 0.7207,                0.50648,                 1.1054,                 0.7087,                 1.3542,             0.00078103,             0.00078103,             0.00078103
                     32,                0.94062,                0.59363,                 1.2408,                0.61443,                0.64221,                0.63515,                0.46057,                 1.0857,                0.79283,                 1.3591,             0.00077003,             0.00077003,             0.00077003
                     33,                0.92554,                0.62309,                 1.2164,                0.74352,                0.69704,                0.72215,                0.52888,                 1.0542,                 0.6537,                 1.3293,             0.00075904,             0.00075904,             0.00075904
                     34,                0.93505,                0.62853,                 1.2356,                0.65069,                0.71593,                 0.7071,                0.51535,                 1.0772,                0.67163,                 1.3284,             0.00074804,             0.00074804,             0.00074804
                     35,                0.93879,                0.62251,                  1.226,                0.67674,                0.74042,                0.73461,                0.54824,                 1.0026,                0.68101,                 1.2838,             0.00073704,             0.00073704,             0.00073704
                     36,                0.90979,                0.61016,                 1.2182,                0.64741,                0.60373,                0.63033,                0.43786,                 1.1436,                0.79241,                 1.4087,             0.00072604,             0.00072604,             0.00072604
                     37,                0.90244,                0.60577,                 1.2066,                0.73954,                0.63838,                0.68965,                0.50628,                 1.0263,                0.69035,                 1.3343,             0.00071504,             0.00071504,             0.00071504
                     38,                0.88922,                0.59676,                 1.2059,                0.71658,                 0.7711,                0.76367,                0.57691,                0.99751,                0.61994,                 1.3086,             0.00070404,             0.00070404,             0.00070404
                     39,                0.91939,                0.61194,                 1.2073,                0.66867,                0.73149,                0.71845,                0.53769,                 1.0106,                0.67722,                 1.2943,             0.00069304,             0.00069304,             0.00069304
                     40,                0.91635,                0.59786,                 1.2126,                0.73995,                0.72636,                0.75311,                 0.5327,                 1.1158,                0.65323,                 1.3988,             0.00068204,             0.00068204,             0.00068204
                     41,                0.89126,                 0.5795,                 1.2086,                0.67115,                 0.7551,                0.73918,                 0.5325,                 1.1178,                0.69948,                 1.3607,             0.00067104,             0.00067104,             0.00067104
                     42,                0.86069,                0.56615,                 1.1827,                 0.7134,                0.67282,                0.70904,                0.52146,                 1.0318,                0.70656,                 1.3134,             0.00066005,             0.00066005,             0.00066005
                     43,                0.88965,                0.60923,                 1.2205,                0.75183,                0.78669,                0.77076,                0.54827,                  1.135,                0.69963,                 1.3796,             0.00064905,             0.00064905,             0.00064905
                     44,                0.88519,                0.56418,                 1.1921,                0.78418,                0.71747,                0.75591,                0.57355,                0.97488,                0.64214,                 1.2733,             0.00063805,             0.00063805,             0.00063805
                     45,                0.86474,                0.56599,                 1.2011,                 0.6033,                0.72958,                0.70232,                0.53329,                0.98584,                0.66681,                 1.2923,             0.00062705,             0.00062705,             0.00062705
                     46,                0.86387,                0.54763,                 1.1839,                0.78582,                0.75636,                0.78395,                0.58058,                 1.0104,                0.64445,                  1.336,             0.00061605,             0.00061605,             0.00061605
                     47,                0.86823,                0.55423,                 1.1935,                0.70684,                0.74552,                0.76582,                0.56287,                 1.0173,                0.63403,                 1.3222,             0.00060505,             0.00060505,             0.00060505
                     48,                0.85627,                0.54998,                 1.1738,                0.79588,                0.73759,                0.79161,                0.59438,                0.97921,                0.59459,                 1.2904,             0.00059405,             0.00059405,             0.00059405
                     49,                0.88296,                0.56982,                 1.1984,                0.77829,                0.72551,                0.75062,                0.56285,                 1.0272,                0.65961,                 1.3192,             0.00058305,             0.00058305,             0.00058305
                     50,                0.84826,                0.54755,                 1.1783,                0.63594,                0.75127,                0.76263,                0.56205,                  1.017,                0.65983,                 1.3295,             0.00057205,             0.00057205,             0.00057205
                     51,                0.82533,                0.52704,                  1.155,                0.71681,                0.80802,                0.79106,                0.58694,                0.99959,                0.60184,                 1.3019,             0.00056105,             0.00056105,             0.00056105
                     52,                0.83004,                0.51959,                 1.1692,                0.80252,                0.73133,                0.79264,                0.59128,                 1.0281,                 0.6315,                 1.3104,             0.00055006,             0.00055006,             0.00055006
                     53,                0.84415,                0.54105,                 1.1766,                0.76045,                0.75127,                0.76077,                 0.5682,                 1.0025,                0.62385,                 1.2981,             0.00053906,             0.00053906,             0.00053906
                     54,                0.83524,                0.50316,                 1.1711,                0.74252,                0.73108,                0.75726,                0.58339,                0.98845,                0.64098,                 1.3099,             0.00052806,             0.00052806,             0.00052806
                     55,                0.84002,                0.50623,                 1.1678,                0.72098,                0.73979,                 0.7763,                0.59102,                0.94456,                0.61689,                 1.2828,             0.00051706,             0.00051706,             0.00051706
                     56,                0.83297,                0.51858,                 1.1667,                0.62867,                 0.6588,                0.67575,                0.50148,                 1.0267,                0.74539,                 1.2872,             0.00050606,             0.00050606,             0.00050606
                     57,                0.81153,                0.52075,                 1.1605,                0.75235,                0.69769,                0.75106,                 0.5583,                 1.0112,                0.64899,                  1.322,             0.00049506,             0.00049506,             0.00049506
                     58,                 0.8307,                0.50663,                 1.1669,                0.72947,                0.76403,                0.78974,                0.59685,                0.97472,                0.62749,                 1.2735,             0.00048406,             0.00048406,             0.00048406
