                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1551,                 2.6617,                 1.4721,                0.91833,                0.43176,                 0.5182,                0.28277,                 1.3498,                 2.3542,                 1.6107,             0.00036559,             0.00036559,             0.00036559
                      2,                 1.1874,                 1.4693,                 1.4287,                0.90977,                0.46108,                0.48258,                0.30006,                 1.2708,                 1.4884,                 1.5952,             0.00073228,             0.00073228,             0.00073228
                      3,                 1.1464,                 1.2837,                 1.3937,                0.45765,                0.68685,                0.54303,                0.31108,                 1.4001,                 1.1526,                 1.6233,              0.0010953,              0.0010953,              0.0010953
                      4,                 1.2057,                 1.1841,                 1.4284,                0.90262,                0.47126,                0.49013,                0.26751,                  1.443,                 1.3415,                 1.6344,              0.0010945,              0.0010945,              0.0010945
                      5,                 1.1356,                 1.0428,                 1.3805,                0.36663,                0.58821,                0.51785,                0.30076,                 1.4567,                 1.0087,                 1.6633,               0.001089,               0.001089,               0.001089
                      6,                 1.1434,                0.96321,                 1.3692,                0.90201,                0.47318,                0.51017,                0.30262,                   1.41,                  1.008,                 1.5531,              0.0010835,              0.0010835,              0.0010835
                      7,                 1.1245,                0.90169,                 1.3557,                0.40011,                0.69003,                0.50009,                0.31542,                 1.2441,                0.96893,                 1.4391,               0.001078,               0.001078,               0.001078
                      8,                 1.1299,                0.88331,                 1.3727,                0.42004,                0.95662,                0.50187,                0.31738,                 1.2859,                0.90518,                 1.4794,              0.0010725,              0.0010725,              0.0010725
                      9,                 1.0896,                0.82888,                 1.3361,                 0.3668,                0.51594,                0.51054,                0.30415,                 1.3741,                0.94436,                 1.5165,               0.001067,               0.001067,               0.001067
                     10,                 1.0769,                0.81975,                 1.3298,                0.37572,                0.89922,                0.50832,                0.32784,                 1.1644,                0.89746,                 1.4151,              0.0010615,              0.0010615,              0.0010615
                     11,                  1.081,                0.80332,                 1.3185,                0.37428,                0.84751,                0.51402,                0.32509,                 1.2454,                0.90125,                 1.4401,               0.001056,               0.001056,               0.001056
                     12,                 1.0728,                0.78271,                  1.328,                0.43258,                0.76403,                0.52334,                0.34035,                 1.2208,                0.86842,                 1.4504,              0.0010505,              0.0010505,              0.0010505
                     13,                 1.0559,                 0.7716,                 1.3254,                0.40132,                0.86032,                0.51195,                0.32921,                 1.2269,                0.86958,                 1.4455,               0.001045,               0.001045,               0.001045
                     14,                 1.0578,                0.77735,                 1.3049,                0.49883,                0.89604,                0.54736,                0.33678,                 1.3719,                0.87465,                 1.5067,              0.0010395,              0.0010395,              0.0010395
                     15,                  1.055,                0.76417,                 1.3198,                0.38307,                0.82396,                0.49256,                0.34251,                 1.0627,                 0.8388,                 1.3847,               0.001034,               0.001034,               0.001034
                     16,                 1.0596,                 0.7409,                 1.3099,                0.41099,                0.83737,                0.53807,                0.35373,                 1.1605,                0.84627,                 1.3625,              0.0010285,              0.0010285,              0.0010285
                     17,                  1.037,                0.75227,                 1.3008,                0.46167,                0.91773,                0.52495,                 0.3545,                  1.148,                0.79563,                 1.3738,               0.001023,               0.001023,               0.001023
                     18,                 1.0062,                0.70214,                 1.2715,                0.45598,                0.83354,                0.50898,                0.34293,                 1.1154,                0.81147,                 1.3453,              0.0010175,              0.0010175,              0.0010175
                     19,                 1.0076,                0.72614,                 1.2868,                0.43877,                0.90428,                0.51338,                0.33718,                 1.1773,                0.81631,                 1.3856,               0.001012,               0.001012,               0.001012
                     20,                 1.0265,                0.73423,                 1.2928,                0.43423,                 0.7032,                0.51646,                0.32621,                 1.2636,                0.86433,                 1.4422,              0.0010065,              0.0010065,              0.0010065
                     21,                 1.0387,                0.70883,                 1.2925,                0.46636,                0.91999,                0.53832,                0.35144,                 1.2135,                0.78281,                 1.4301,               0.001001,               0.001001,               0.001001
                     22,                 1.0168,                0.69539,                 1.2846,                 0.4543,                0.76529,                0.51413,                0.33939,                 1.2149,                0.82208,                 1.4491,             0.00099551,             0.00099551,             0.00099551
                     23,                0.99866,                0.69706,                  1.276,                0.44494,                0.74808,                0.52618,                0.31649,                 1.3414,                0.85376,                 1.5965,             0.00099001,             0.00099001,             0.00099001
